item_begin	object_id=17	object_name=[wooden_arrow]	drop_type=0	drop_anim_type=3	drop_radius=8.4	drop_height=4	drop_mesh={[dropitems.drop_quiver_m00]}	drop_texture={[dropitemstex.drop_quiver_t00]}	icon={[icon.etc_wooden_quiver_i00]}	mesh={[LineageWeapons.wooden_arrow_m00_et]}	texture={[LineageWeaponsTex.wooden_arrow_t00_et]}	crystallizable=0	drop_sound=[ItemSound.itemdrop_etc_branch]	equip_sound=[none]	etcitem_type=arrow	weight=6	consume_type=consume_type_stackable	material_type=wood	crystal_type=none	durability=0	item_end
item_begin	object_id=57	object_name=[adena]	drop_type=0	drop_anim_type=3	drop_radius=4	drop_height=1	drop_mesh={[DropItems.coin_m00]}	drop_texture={[DropItemsTex.coin_t00];[DropItemsTex.coin_t01]}	icon={[icon.etc_adena_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[ItemSound.itemdrop_etc_money]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_asset	material_type=gold	crystal_type=none	durability=0	item_end
item_begin	object_id=65	object_name=[red_potion]	drop_type=0	drop_anim_type=3	drop_radius=1.8	drop_height=6	drop_mesh={[dropitems.drop_lesser_potion_m00]}	drop_texture={[dropitemstex.drop_lesser_potion_red_t00]}	icon={[icon.etc_potion_red_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[ItemSound.itemdrop_etc_potion]	equip_sound=[none]	etcitem_type=potion	weight=80	consume_type=consume_type_stackable	material_type=liquid	crystal_type=none	durability=0	item_end
item_begin	object_id=686	object_name=[chair_item]	drop_type=0	drop_anim_type=3	drop_radius=3.6	drop_height=5	drop_mesh={[dropitems.drop_jewel_box_m00]}	drop_texture={[dropitemstex.drop_jewel_box_t00]}	icon={[icon.etc_branch_blue_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[ItemSound.item_drop_equip_armor_wood]	equip_sound=[ItemSound.item_drop_equip_armor_wood]	etcitem_type=none	weight=100	consume_type=consume_type_normal	material_type=wood	crystal_type=none	durability=90	item_end
item_begin	object_id=687	object_name=[darings_letter]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.etc_scroll_gray_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=688	object_name=[rapunzels_kerchief]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.etc_piece_of_cloth_white_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=cloth	crystal_type=none	durability=100	item_end
item_begin	object_id=689	object_name=[poetry_book]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.etc_spell_books_red_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=690	object_name=[lyrics_book]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal06]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=691	object_name=[romance_novel]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal07]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=692	object_name=[arujiens_letter]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_canuse37]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=693	object_name=[greenis_letter]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.etc_letter_white_i00]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=694	object_name=[talos_list]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal37]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=paper	crystal_type=none	durability=100	item_end
item_begin	object_id=695	object_name=[onyx_beast_blood]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_canuse48]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=696	object_name=[mana_vampire_husk]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal30]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=697	object_name=[gargoyle_horn]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal24]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=698	object_name=[gilberts_list]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal37]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_normal	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=699	object_name=[orc_nose]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_canuse05]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=700	object_name=[_hobgoblin_amulet]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_normal05]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
item_begin	object_id=701	object_name=[fungus_juice]	drop_type=0	drop_anim_type=0	drop_radius=2.7	drop_height=5	drop_mesh={[dropitems.drop_sack_m00]}	drop_texture={[dropitemstex.drop_sack_t00]}	icon={[icon.item_canuse28]}	mesh={[none]}	texture={[none]}	crystallizable=0	drop_sound=[none]	equip_sound=[none]	etcitem_type=none	weight=0	consume_type=consume_type_stackable	material_type=steel	crystal_type=none	durability=100	item_end
